station_id,timestamp,wind_vv_m_s,wind_vmax_m_s,wind_dv_g,wind_dmax_g
0009X,2025-05-13 09:00:00+00:00,1.3,4.6,91.0,120.0
0016A,2025-05-13 09:00:00+00:00,1.9,4.1,160.0,160.0
0042Y,2025-05-13 09:00:00+00:00,2.1,4.2,159.0,147.0
0061X,2025-05-13 09:00:00+00:00,3.1,5.3,198.0,215.0
0066X,2025-05-13 09:00:00+00:00,2.0,4.7,235.0,247.0
0073X,2025-05-13 09:00:00+00:00,2.9,4.7,156.0,180.0
0076,2025-05-13 09:00:00+00:00,3.3,6.2,190.0,200.0
0092X,2025-05-13 09:00:00+00:00,0.8,3.1,245.0,250.0
0106X,2025-05-13 09:00:00+00:00,0.4,2.1,79.0,87.0
0114X,2025-05-13 09:00:00+00:00,0.8,1.8,128.0,200.0
0120X,2025-05-13 09:00:00+00:00,1.5,3.2,255.0,255.0
0149X,2025-05-13 09:00:00+00:00,1.0,2.3,216.0,278.0
0171X,2025-05-13 09:00:00+00:00,0.3,2.1,120.0,150.0
0201D,2025-05-13 09:00:00+00:00,2.8,3.7,182.0,174.0
0201X,2025-05-13 09:00:00+00:00,0.9,3.2,83.0,177.0
0222X,2025-05-13 09:00:00+00:00,1.1,3.2,153.0,152.0
0252D,2025-05-13 09:00:00+00:00,1.2,4.4,207.0,190.0
0281Y,2025-05-13 09:00:00+00:00,3.2,4.4,200.0,202.0
0284X,2025-05-13 09:00:00+00:00,2.5,5.0,157.0,160.0
0312X,2025-05-13 09:00:00+00:00,1.6,3.7,84.0,90.0
0320I,2025-05-13 09:00:00+00:00,2.7,4.4,111.0,92.0
0360X,2025-05-13 09:00:00+00:00,0.5,1.9,150.0,125.0
0363X,2025-05-13 09:00:00+00:00,1.2,4.1,126.0,122.0
0367,2025-05-13 09:00:00+00:00,0.7,2.6,140.0,180.0
0370E,2025-05-13 09:00:00+00:00,0.6,2.9,329.0,215.0
0372C,2025-05-13 09:00:00+00:00,1.4,4.4,110.0,124.0
0385X,2025-05-13 09:00:00+00:00,2.5,3.9,122.0,122.0
0394X,2025-05-13 09:00:00+00:00,0.6,1.3,76.0,80.0
0411X,2025-05-13 09:00:00+00:00,0.5,2.4,103.0,112.0
0413A,2025-05-13 09:00:00+00:00,1.2,3.1,128.0,122.0
0421X,2025-05-13 09:00:00+00:00,1.4,3.0,135.0,250.0
0429X,2025-05-13 09:00:00+00:00,1.5,2.8,190.0,167.0
0433D,2025-05-13 09:00:00+00:00,2.6,,285.0,
1002Y,2025-05-13 09:00:00+00:00,0.8,1.5,128.0,130.0
1010X,2025-05-13 09:00:00+00:00,0.4,1.0,218.0,185.0
1012P,2025-05-13 09:00:00+00:00,0.4,1.5,14.0,165.0
1014A,2025-05-13 09:00:00+00:00,2.4,3.1,10.0,20.0
1021X,2025-05-13 09:00:00+00:00,0.0,1.4,175.0,5.0
1025A,2025-05-13 09:00:00+00:00,0.4,1.3,3.0,42.0
1025X,2025-05-13 09:00:00+00:00,0.7,1.7,202.0,167.0
1026X,2025-05-13 09:00:00+00:00,1.7,2.9,115.0,135.0
1033X,2025-05-13 09:00:00+00:00,2.7,4.8,188.0,182.0
1037Y,2025-05-13 09:00:00+00:00,1.5,,,
1038X,2025-05-13 09:00:00+00:00,0.5,1.6,350.0,75.0
1041A,2025-05-13 09:00:00+00:00,2.5,3.5,31.0,36.0
1049N,2025-05-13 09:00:00+00:00,0.5,1.9,110.0,160.0
1050J,2025-05-13 09:00:00+00:00,1.5,2.4,347.0,352.0
1052A,2025-05-13 09:00:00+00:00,0.9,2.1,342.0,70.0
1056K,2025-05-13 09:00:00+00:00,1.4,2.8,322.0,300.0
1057B,2025-05-13 09:00:00+00:00,2.9,3.8,82.0,95.0
1059X,2025-05-13 09:00:00+00:00,0.6,2.2,31.0,105.0
1060X,2025-05-13 09:00:00+00:00,0.6,3.2,311.0,252.0
1064L,2025-05-13 09:00:00+00:00,0.4,1.6,288.0,277.0
1074C,2025-05-13 09:00:00+00:00,0.7,1.9,347.0,352.0
1078I,2025-05-13 09:00:00+00:00,0.5,1.7,21.0,39.0
1082,2025-05-13 09:00:00+00:00,1.7,2.6,90.0,120.0
1083B,2025-05-13 09:00:00+00:00,0.3,1.1,81.0,87.0
1083L,2025-05-13 09:00:00+00:00,1.3,2.7,45.0,89.0
1089U,2025-05-13 09:00:00+00:00,1.0,2.6,326.0,312.0
1096X,2025-05-13 09:00:00+00:00,1.1,2.1,355.0,347.0
1103X,2025-05-13 09:00:00+00:00,1.9,3.7,99.0,262.0
1109X,2025-05-13 09:00:00+00:00,2.5,3.6,50.0,50.0
1111X,2025-05-13 09:00:00+00:00,2.0,3.1,51.0,78.0
1124E,2025-05-13 09:00:00+00:00,1.5,2.4,353.0,7.0
1135C,2025-05-13 09:00:00+00:00,0.9,2.1,315.0,305.0
1152C,2025-05-13 09:00:00+00:00,0.7,1.8,345.0,92.0
1154H,2025-05-13 09:00:00+00:00,1.8,3.2,45.0,45.0
1159,2025-05-13 09:00:00+00:00,1.3,3.3,46.0,59.0
1167B,2025-05-13 09:00:00+00:00,0.3,3.6,59.0,210.0
1167H,2025-05-13 09:00:00+00:00,3.6,6.4,195.0,203.0
1167J,2025-05-13 09:00:00+00:00,1.9,3.9,37.0,12.0
1174I,2025-05-13 09:00:00+00:00,1.2,1.9,14.0,35.0
1176A,2025-05-13 09:00:00+00:00,0.5,2.3,147.0,187.0
1178E,2025-05-13 09:00:00+00:00,0.0,2.4,,323.0
1178I,2025-05-13 09:00:00+00:00,0.6,1.9,27.0,21.0
1178M,2025-05-13 09:00:00+00:00,3.7,6.6,149.0,151.0
1178R,2025-05-13 09:00:00+00:00,2.3,4.6,21.0,68.0
1179B,2025-05-13 09:00:00+00:00,0.9,2.5,98.0,177.0
1183X,2025-05-13 09:00:00+00:00,1.7,2.6,65.0,76.0
1186P,2025-05-13 09:00:00+00:00,0.8,1.8,214.0,162.0
1191D,2025-05-13 09:00:00+00:00,1.1,3.5,195.0,146.0
1199X,2025-05-13 09:00:00+00:00,1.1,2.6,120.0,147.0
1203D,2025-05-13 09:00:00+00:00,1.6,3.2,43.0,55.0
1207U,2025-05-13 09:00:00+00:00,1.7,2.8,12.0,23.0
1208H,2025-05-13 09:00:00+00:00,1.7,2.8,91.0,86.0
1210X,2025-05-13 09:00:00+00:00,2.1,3.4,283.0,265.0
1212E,2025-05-13 09:00:00+00:00,2.3,4.1,300.0,290.0
1221D,2025-05-13 09:00:00+00:00,1.9,4.4,116.0,107.0
1223P,2025-05-13 09:00:00+00:00,1.5,2.7,9.0,345.0
1226X,2025-05-13 09:00:00+00:00,2.2,3.6,321.0,310.0
1234P,2025-05-13 09:00:00+00:00,0.4,1.7,299.0,62.0
1249X,2025-05-13 09:00:00+00:00,1.2,3.1,108.0,115.0
1272B,2025-05-13 09:00:00+00:00,2.2,4.6,328.0,325.0
1276F,2025-05-13 09:00:00+00:00,0.0,0.7,124.0,122.0
1279X,2025-05-13 09:00:00+00:00,0.2,1.8,193.0,87.0
1283U,2025-05-13 09:00:00+00:00,0.7,3.5,356.0,94.0
1297E,2025-05-13 09:00:00+00:00,1.9,5.7,232.0,237.0
1302F,2025-05-13 09:00:00+00:00,0.7,1.7,40.0,80.0
1309C,2025-05-13 09:00:00+00:00,2.1,5.2,222.0,235.0
1327A,2025-05-13 09:00:00+00:00,1.3,3.2,320.0,252.0
1331A,2025-05-13 09:00:00+00:00,2.4,5.2,201.0,200.0
1341B,2025-05-13 09:00:00+00:00,5.0,7.4,178.0,167.0
1342X,2025-05-13 09:00:00+00:00,2.2,5.1,214.0,225.0
1351,2025-05-13 09:00:00+00:00,6.3,7.9,232.0,223.0
1354C,2025-05-13 09:00:00+00:00,2.6,4.1,208.0,201.0
1387D,2025-05-13 09:00:00+00:00,2.0,3.4,252.0,271.0
1387E,2025-05-13 09:00:00+00:00,1.9,5.7,200.0,180.0
1393,2025-05-13 09:00:00+00:00,2.2,3.6,285.0,264.0
1400,2025-05-13 09:00:00+00:00,2.5,4.4,311.0,312.0
1428,2025-05-13 09:00:00+00:00,1.6,3.6,200.0,170.0
1435C,2025-05-13 09:00:00+00:00,0.6,1.6,296.0,142.0
1437P,2025-05-13 09:00:00+00:00,2.7,,313.0,
1466A,2025-05-13 09:00:00+00:00,0.6,1.4,289.0,32.0
1473A,2025-05-13 09:00:00+00:00,0.1,1.7,68.0,43.0
1475X,2025-05-13 09:00:00+00:00,0.1,2.4,206.0,224.0
1477V,2025-05-13 09:00:00+00:00,2.3,3.7,331.0,340.0
1484C,2025-05-13 09:00:00+00:00,1.4,3.2,181.0,153.0
1486E,2025-05-13 09:00:00+00:00,0.4,1.0,337.0,326.0
1489A,2025-05-13 09:00:00+00:00,1.5,4.3,193.0,170.0
1495,2025-05-13 09:00:00+00:00,3.5,5.1,170.0,170.0
1496X,2025-05-13 09:00:00+00:00,1.4,2.7,335.0,12.0
1505,2025-05-13 09:00:00+00:00,1.7,4.0,221.0,240.0
1518A,2025-05-13 09:00:00+00:00,0.4,2.6,246.0,277.0
1521X,2025-05-13 09:00:00+00:00,1.4,4.1,205.0,167.0
1535I,2025-05-13 09:00:00+00:00,0.0,,199.0,
1541B,2025-05-13 09:00:00+00:00,1.3,2.9,192.0,230.0
1542,2025-05-13 09:00:00+00:00,2.9,5.8,135.0,136.0
1549,2025-05-13 09:00:00+00:00,0.6,2.0,248.0,263.0
1631E,2025-05-13 09:00:00+00:00,1.7,3.8,95.0,124.0
1639X,2025-05-13 09:00:00+00:00,0.4,2.5,98.0,112.0
1679A,2025-05-13 09:00:00+00:00,0.2,1.0,357.0,
1690A,2025-05-13 09:00:00+00:00,1.0,2.4,269.0,285.0
1700X,2025-05-13 09:00:00+00:00,0.1,0.8,290.0,308.0
1701X,2025-05-13 09:00:00+00:00,0.4,1.2,19.0,155.0
1735X,2025-05-13 09:00:00+00:00,0.0,,,108.0
1740,2025-05-13 09:00:00+00:00,0.9,2.1,34.0,52.0
2017Y,2025-05-13 09:00:00+00:00,2.8,6.3,197.0,130.0
2030,2025-05-13 09:00:00+00:00,2.0,5.1,238.0,240.0
2044B,2025-05-13 09:00:00+00:00,3.0,6.1,292.0,297.0
2048A,2025-05-13 09:00:00+00:00,1.2,4.0,275.0,300.0
2059B,2025-05-13 09:00:00+00:00,1.4,3.3,40.0,52.0
2092,2025-05-13 09:00:00+00:00,1.2,3.0,243.0,270.0
2096B,2025-05-13 09:00:00+00:00,1.9,3.7,335.0,192.0
2106B,2025-05-13 09:00:00+00:00,2.8,4.5,179.0,187.0
2117D,2025-05-13 09:00:00+00:00,1.9,5.2,216.0,224.0
2135A,2025-05-13 09:00:00+00:00,2.1,5.0,269.0,260.0
2140A,2025-05-13 09:00:00+00:00,4.0,6.4,257.0,237.0
2150H,2025-05-13 09:00:00+00:00,1.9,5.2,305.0,299.0
2172Y,2025-05-13 09:00:00+00:00,1.2,4.0,299.0,255.0
2182C,2025-05-13 09:00:00+00:00,1.9,3.9,310.0,312.0
2192C,2025-05-13 09:00:00+00:00,1.2,3.1,192.0,225.0
2235U,2025-05-13 09:00:00+00:00,2.7,6.2,188.0,183.0
2243A,2025-05-13 09:00:00+00:00,1.4,3.7,275.0,260.0
2276B,2025-05-13 09:00:00+00:00,5.2,7.7,214.0,205.0
2285B,2025-05-13 09:00:00+00:00,5.4,9.2,223.0,227.0
2290Y,2025-05-13 09:00:00+00:00,3.8,7.2,227.0,220.0
2296A,2025-05-13 09:00:00+00:00,2.8,4.6,233.0,262.0
2298,2025-05-13 09:00:00+00:00,2.5,5.7,201.0,214.0
2302N,2025-05-13 09:00:00+00:00,2.8,6.3,226.0,237.0
2311Y,2025-05-13 09:00:00+00:00,4.8,7.3,219.0,222.0
2331,2025-05-13 09:00:00+00:00,5.4,9.2,194.0,198.0
2362C,2025-05-13 09:00:00+00:00,3.0,4.8,289.0,307.0
2374X,2025-05-13 09:00:00+00:00,2.5,5.2,236.0,206.0
2400E,2025-05-13 09:00:00+00:00,3.4,7.6,267.0,253.0
2401X,2025-05-13 09:00:00+00:00,2.6,5.7,269.0,285.0
2422,2025-05-13 09:00:00+00:00,1.8,5.0,258.0,275.0
2430Y,2025-05-13 09:00:00+00:00,0.8,2.8,74.0,120.0
2444,2025-05-13 09:00:00+00:00,1.4,2.8,52.0,330.0
2453E,2025-05-13 09:00:00+00:00,1.0,,48.0,
2456B,2025-05-13 09:00:00+00:00,0.9,2.2,297.0,222.0
2462,2025-05-13 09:00:00+00:00,1.7,5.0,192.0,174.0
2465,2025-05-13 09:00:00+00:00,1.4,2.8,281.0,285.0
2482B,2025-05-13 09:00:00+00:00,0.7,2.5,169.0,245.0
2491C,2025-05-13 09:00:00+00:00,2.8,5.0,303.0,268.0
2503B,2025-05-13 09:00:00+00:00,1.2,3.6,207.0,255.0
2507Y,2025-05-13 09:00:00+00:00,1.3,3.5,184.0,242.0
2512Y,2025-05-13 09:00:00+00:00,1.3,2.9,97.0,142.0
2517A,2025-05-13 09:00:00+00:00,1.4,2.4,122.0,125.0
2536D,2025-05-13 09:00:00+00:00,0.7,4.1,248.0,227.0
2555B,2025-05-13 09:00:00+00:00,2.0,3.6,226.0,235.0
2565,2025-05-13 09:00:00+00:00,1.8,3.2,238.0,200.0
2568D,2025-05-13 09:00:00+00:00,2.2,4.3,314.0,307.0
2593D,2025-05-13 09:00:00+00:00,4.5,7.5,235.0,232.0
2604B,2025-05-13 09:00:00+00:00,3.3,5.8,252.0,242.0
2611D,2025-05-13 09:00:00+00:00,3.8,6.0,216.0,217.0
2614,2025-05-13 09:00:00+00:00,1.7,3.9,257.0,275.0
2624C,2025-05-13 09:00:00+00:00,1.8,3.2,130.0,120.0
2626Y,2025-05-13 09:00:00+00:00,1.7,3.5,235.0,270.0
2630X,2025-05-13 09:00:00+00:00,3.2,6.0,133.0,139.0
2661,2025-05-13 09:00:00+00:00,3.8,7.7,230.0,250.0
2664B,2025-05-13 09:00:00+00:00,2.3,4.0,289.0,300.0
2701D,2025-05-13 09:00:00+00:00,1.3,3.2,195.0,192.0
2728B,2025-05-13 09:00:00+00:00,3.6,6.0,286.0,290.0
2734D,2025-05-13 09:00:00+00:00,2.9,6.4,170.0,185.0
2737E,2025-05-13 09:00:00+00:00,1.6,4.7,109.0,136.0
2742R,2025-05-13 09:00:00+00:00,2.2,4.1,210.0,250.0
2755X,2025-05-13 09:00:00+00:00,1.6,5.0,228.0,226.0
2766E,2025-05-13 09:00:00+00:00,0.5,2.0,238.0,77.0
2775X,2025-05-13 09:00:00+00:00,3.1,5.9,249.0,235.0
2777K,2025-05-13 09:00:00+00:00,2.9,5.4,220.0,222.0
2789H,2025-05-13 09:00:00+00:00,2.6,5.1,198.0,192.0
2804F,2025-05-13 09:00:00+00:00,2.2,4.5,254.0,245.0
2828Y,2025-05-13 09:00:00+00:00,1.4,3.1,19.0,7.0
2847X,2025-05-13 09:00:00+00:00,1.9,3.4,180.0,130.0
2863C,2025-05-13 09:00:00+00:00,1.0,2.6,78.0,137.0
2867,2025-05-13 09:00:00+00:00,1.1,3.6,300.0,280.0
2870,2025-05-13 09:00:00+00:00,0.3,3.2,275.0,218.0
2873X,2025-05-13 09:00:00+00:00,1.3,3.2,283.0,270.0
2882D,2025-05-13 09:00:00+00:00,2.0,,286.0,
2885K,2025-05-13 09:00:00+00:00,2.2,4.7,201.0,200.0
2891A,2025-05-13 09:00:00+00:00,2.6,4.9,211.0,220.0
2914C,2025-05-13 09:00:00+00:00,1.6,3.9,138.0,122.0
2916A,2025-05-13 09:00:00+00:00,2.1,3.9,233.0,219.0
2918Y,2025-05-13 09:00:00+00:00,0.7,2.4,344.0,322.0
2926B,2025-05-13 09:00:00+00:00,1.1,3.5,280.0,177.0
2930Y,2025-05-13 09:00:00+00:00,1.7,4.1,223.0,212.0
2945A,2025-05-13 09:00:00+00:00,1.0,2.1,47.0,340.0
2946X,2025-05-13 09:00:00+00:00,1.0,5.2,85.0,113.0
2966D,2025-05-13 09:00:00+00:00,2.5,4.3,183.0,182.0
3013,2025-05-13 09:00:00+00:00,0.9,2.0,99.0,85.0
3021Y,2025-05-13 09:00:00+00:00,4.4,8.1,229.0,225.0
3094B,2025-05-13 09:00:00+00:00,0.5,2.8,340.0,257.0
3099Y,2025-05-13 09:00:00+00:00,0.5,,,
3100B,2025-05-13 09:00:00+00:00,0.4,2.2,231.0,122.0
3103,2025-05-13 09:00:00+00:00,0.2,1.7,308.0,80.0
3104Y,2025-05-13 09:00:00+00:00,1.9,3.5,114.0,130.0
3110C,2025-05-13 09:00:00+00:00,0.0,,,114.0
3111D,2025-05-13 09:00:00+00:00,0.0,,,200.0
3126Y,2025-05-13 09:00:00+00:00,1.6,4.0,113.0,135.0
3129,2025-05-13 09:00:00+00:00,1.0,3.1,360.0,320.0
3129A,2025-05-13 09:00:00+00:00,1.0,4.0,19.0,25.0
3130C,2025-05-13 09:00:00+00:00,0.4,3.3,174.0,324.0
3158D,2025-05-13 09:00:00+00:00,0.0,,80.0,
3168D,2025-05-13 09:00:00+00:00,1.1,2.7,339.0,18.0
3170Y,2025-05-13 09:00:00+00:00,1.2,3.6,36.0,37.0
3182Y,2025-05-13 09:00:00+00:00,0.8,3.2,32.0,70.0
3191E,2025-05-13 09:00:00+00:00,0.8,2.3,265.0,325.0
3194U,2025-05-13 09:00:00+00:00,0.8,4.2,355.0,297.0
3195,2025-05-13 09:00:00+00:00,1.5,3.7,69.0,144.0
3254Y,2025-05-13 09:00:00+00:00,1.3,2.9,360.0,352.0
3260B,2025-05-13 09:00:00+00:00,1.5,3.3,265.0,240.0
3266A,2025-05-13 09:00:00+00:00,1.4,3.3,131.0,94.0
3268C,2025-05-13 09:00:00+00:00,0.8,2.8,88.0,150.0
3298X,2025-05-13 09:00:00+00:00,0.7,3.3,52.0,129.0
3319D,2025-05-13 09:00:00+00:00,2.3,5.9,220.0,207.0
3337U,2025-05-13 09:00:00+00:00,1.8,3.7,64.0,80.0
3343Y,2025-05-13 09:00:00+00:00,1.5,2.8,182.0,185.0
3365A,2025-05-13 09:00:00+00:00,1.4,3.4,46.0,95.0
3386A,2025-05-13 09:00:00+00:00,1.8,3.3,352.0,322.0
3391,2025-05-13 09:00:00+00:00,0.7,2.2,255.0,187.0
3422D,2025-05-13 09:00:00+00:00,1.0,4.0,220.0,125.0
3423I,2025-05-13 09:00:00+00:00,1.2,3.9,94.0,102.0
3434X,2025-05-13 09:00:00+00:00,2.5,4.0,181.0,175.0
3436D,2025-05-13 09:00:00+00:00,2.0,3.6,142.0,145.0
3448X,2025-05-13 09:00:00+00:00,1.3,3.5,112.0,132.0
3455X,2025-05-13 09:00:00+00:00,1.6,3.1,218.0,225.0
3463Y,2025-05-13 09:00:00+00:00,1.6,3.8,302.0,312.0
3469A,2025-05-13 09:00:00+00:00,1.4,2.9,21.0,20.0
3475X,2025-05-13 09:00:00+00:00,0.6,3.0,137.0,267.0
3494U,2025-05-13 09:00:00+00:00,2.2,4.0,338.0,337.0
3503,2025-05-13 09:00:00+00:00,1.3,3.2,245.0,192.0
3504X,2025-05-13 09:00:00+00:00,2.5,4.0,309.0,300.0
3512X,2025-05-13 09:00:00+00:00,1.0,3.0,64.0,50.0
3514B,2025-05-13 09:00:00+00:00,2.6,4.5,229.0,250.0
3516X,2025-05-13 09:00:00+00:00,0.8,2.2,80.0,65.0
3519X,2025-05-13 09:00:00+00:00,0.6,3.0,265.0,245.0
3526X,2025-05-13 09:00:00+00:00,1.6,3.6,304.0,301.0
3531X,2025-05-13 09:00:00+00:00,1.8,3.7,229.0,237.0
3536X,2025-05-13 09:00:00+00:00,2.1,4.1,138.0,145.0
3540X,2025-05-13 09:00:00+00:00,0.9,3.2,207.0,222.0
3547X,2025-05-13 09:00:00+00:00,1.4,3.7,159.0,210.0
3562X,2025-05-13 09:00:00+00:00,0.7,2.9,293.0,35.0
3565X,2025-05-13 09:00:00+00:00,1.4,3.5,344.0,22.0
3576X,2025-05-13 09:00:00+00:00,3.1,5.5,332.0,339.0
4007Y,2025-05-13 09:00:00+00:00,0.9,3.0,356.0,110.0
4051Y,2025-05-13 09:00:00+00:00,1.2,2.2,285.0,297.0
4064Y,2025-05-13 09:00:00+00:00,0.8,2.8,26.0,327.0
4067,2025-05-13 09:00:00+00:00,1.3,3.7,338.0,296.0
4070Y,2025-05-13 09:00:00+00:00,1.4,4.3,347.0,272.0
4089A,2025-05-13 09:00:00+00:00,1.2,2.7,61.0,57.0
4090Y,2025-05-13 09:00:00+00:00,1.0,2.7,118.0,91.0
4091Y,2025-05-13 09:00:00+00:00,1.2,2.8,29.0,12.0
4093Y,2025-05-13 09:00:00+00:00,1.0,1.9,190.0,147.0
4095Y,2025-05-13 09:00:00+00:00,0.6,2.2,215.0,192.0
4096Y,2025-05-13 09:00:00+00:00,1.4,3.1,23.0,15.0
4103X,2025-05-13 09:00:00+00:00,1.6,3.6,22.0,10.0
4121,2025-05-13 09:00:00+00:00,1.6,3.0,106.0,90.0
4138Y,2025-05-13 09:00:00+00:00,1.6,3.2,209.0,240.0
4147X,2025-05-13 09:00:00+00:00,1.6,4.3,359.0,3.0
4148,2025-05-13 09:00:00+00:00,1.5,4.4,45.0,28.0
4195E,2025-05-13 09:00:00+00:00,1.5,2.9,136.0,140.0
4210Y,2025-05-13 09:00:00+00:00,3.1,5.0,141.0,135.0
4220X,2025-05-13 09:00:00+00:00,1.3,2.7,73.0,87.0
4236Y,2025-05-13 09:00:00+00:00,0.9,2.1,294.0,275.0
4244X,2025-05-13 09:00:00+00:00,1.1,2.8,326.0,340.0
4245X,2025-05-13 09:00:00+00:00,1.6,3.1,142.0,150.0
4260,2025-05-13 09:00:00+00:00,1.7,2.9,22.0,52.0
4263X,2025-05-13 09:00:00+00:00,1.5,4.0,336.0,5.0
4267X,2025-05-13 09:00:00+00:00,1.0,3.3,347.0,325.0
4300Y,2025-05-13 09:00:00+00:00,0.6,1.9,83.0,182.0
4325Y,2025-05-13 09:00:00+00:00,1.2,2.8,274.0,345.0
4339X,2025-05-13 09:00:00+00:00,1.3,2.6,229.0,252.0
4340,2025-05-13 09:00:00+00:00,1.4,2.8,11.0,7.0
4347X,2025-05-13 09:00:00+00:00,1.4,2.8,238.0,225.0
4358X,2025-05-13 09:00:00+00:00,1.4,3.1,226.0,236.0
4362X,2025-05-13 09:00:00+00:00,2.3,4.0,333.0,332.0
4386B,2025-05-13 09:00:00+00:00,1.8,3.6,344.0,342.0
4395X,2025-05-13 09:00:00+00:00,2.1,4.6,357.0,297.0
4410X,2025-05-13 09:00:00+00:00,1.2,3.0,242.0,258.0
4411C,2025-05-13 09:00:00+00:00,1.3,3.3,304.0,320.0
4427X,2025-05-13 09:00:00+00:00,1.5,4.3,336.0,307.0
4436Y,2025-05-13 09:00:00+00:00,2.2,4.0,335.0,340.0
4452,2025-05-13 09:00:00+00:00,1.5,3.9,275.0,255.0
4464X,2025-05-13 09:00:00+00:00,1.0,2.4,315.0,267.0
4468X,2025-05-13 09:00:00+00:00,1.3,2.8,36.0,355.0
4478X,2025-05-13 09:00:00+00:00,1.7,3.9,232.0,165.0
4486X,2025-05-13 09:00:00+00:00,1.1,3.9,278.0,237.0
4489X,2025-05-13 09:00:00+00:00,1.3,2.5,281.0,267.0
4492F,2025-05-13 09:00:00+00:00,0.8,2.8,22.0,310.0
4497X,2025-05-13 09:00:00+00:00,1.7,3.4,359.0,350.0
4499X,2025-05-13 09:00:00+00:00,1.8,3.9,335.0,347.0
4501X,2025-05-13 09:00:00+00:00,1.0,3.8,272.0,292.0
4511C,2025-05-13 09:00:00+00:00,1.2,2.4,263.0,221.0
4520X,2025-05-13 09:00:00+00:00,1.8,3.2,62.0,55.0
4527X,2025-05-13 09:00:00+00:00,1.7,3.4,306.0,37.0
4549Y,2025-05-13 09:00:00+00:00,1.6,6.6,337.0,314.0
4554X,2025-05-13 09:00:00+00:00,1.7,5.7,342.0,322.0
4560Y,2025-05-13 09:00:00+00:00,5.2,8.9,26.0,12.0
4589X,2025-05-13 09:00:00+00:00,4.4,7.3,304.0,295.0
4608X,2025-05-13 09:00:00+00:00,2.9,5.2,352.0,352.0
4622X,2025-05-13 09:00:00+00:00,0.8,4.9,345.0,200.0
4642E,2025-05-13 09:00:00+00:00,3.1,6.6,313.0,288.0
5000C,2025-05-13 09:00:00+00:00,3.0,10.1,263.0,263.0
5047E,2025-05-13 09:00:00+00:00,1.2,2.9,262.0,345.0
5051X,2025-05-13 09:00:00+00:00,1.7,4.0,164.0,117.0
5103E,2025-05-13 09:00:00+00:00,1.7,3.4,38.0,42.0
5107D,2025-05-13 09:00:00+00:00,1.1,3.1,38.0,305.0
5112X,2025-05-13 09:00:00+00:00,1.1,3.0,344.0,272.0
5164B,2025-05-13 09:00:00+00:00,1.1,2.6,178.0,132.0
5192,2025-05-13 09:00:00+00:00,1.3,2.9,221.0,292.0
5210X,2025-05-13 09:00:00+00:00,1.0,2.7,297.0,285.0
5246,2025-05-13 09:00:00+00:00,0.8,4.0,45.0,17.0
5270B,2025-05-13 09:00:00+00:00,1.4,3.5,101.0,88.0
5279X,2025-05-13 09:00:00+00:00,0.4,2.9,123.0,132.0
5281X,2025-05-13 09:00:00+00:00,0.8,2.5,170.0,235.0
5298X,2025-05-13 09:00:00+00:00,0.9,3.0,65.0,108.0
5304Y,2025-05-13 09:00:00+00:00,1.8,3.8,100.0,90.0
5341C,2025-05-13 09:00:00+00:00,2.1,4.1,61.0,75.0
5361X,2025-05-13 09:00:00+00:00,0.9,3.3,97.0,140.0
5390Y,2025-05-13 09:00:00+00:00,1.6,4.0,355.0,28.0
5394X,2025-05-13 09:00:00+00:00,1.3,4.1,51.0,42.0
5402,2025-05-13 09:00:00+00:00,0.7,2.6,140.0,70.0
5406X,2025-05-13 09:00:00+00:00,0.8,2.1,337.0,330.0
5412X,2025-05-13 09:00:00+00:00,1.5,3.0,109.0,62.0
5429X,2025-05-13 09:00:00+00:00,0.5,3.0,359.0,197.0
5459X,2025-05-13 09:00:00+00:00,1.7,3.5,272.0,270.0
5470,2025-05-13 09:00:00+00:00,1.3,3.4,68.0,117.0
5473X,2025-05-13 09:00:00+00:00,1.9,4.1,315.0,332.0
5511,2025-05-13 09:00:00+00:00,4.3,8.3,232.0,208.0
5514Z,2025-05-13 09:00:00+00:00,1.6,3.2,357.0,350.0
5515D,2025-05-13 09:00:00+00:00,2.0,,297.0,
5515X,2025-05-13 09:00:00+00:00,0.5,2.1,340.0,265.0
5516D,2025-05-13 09:00:00+00:00,5.1,9.0,234.0,243.0
5530E,2025-05-13 09:00:00+00:00,1.2,3.6,360.0,340.0
5598X,2025-05-13 09:00:00+00:00,2.0,3.3,10.0,342.0
5612B,2025-05-13 09:00:00+00:00,1.6,2.8,13.0,36.0
5624X,2025-05-13 09:00:00+00:00,1.2,2.7,225.0,260.0
5625X,2025-05-13 09:00:00+00:00,1.0,2.1,198.0,180.0
5641X,2025-05-13 09:00:00+00:00,0.8,2.3,54.0,48.0
5654X,2025-05-13 09:00:00+00:00,1.8,3.5,144.0,145.0
5656,2025-05-13 09:00:00+00:00,1.7,3.2,15.0,37.0
5702X,2025-05-13 09:00:00+00:00,0.9,2.1,146.0,195.0
5704B,2025-05-13 09:00:00+00:00,1.7,4.5,37.0,39.0
5726X,2025-05-13 09:00:00+00:00,2.2,5.5,16.0,17.0
5733X,2025-05-13 09:00:00+00:00,1.1,2.8,346.0,22.0
5769X,2025-05-13 09:00:00+00:00,1.5,3.8,72.0,45.0
5783,2025-05-13 09:00:00+00:00,0.6,3.6,280.0,20.0
5788X,2025-05-13 09:00:00+00:00,0.4,1.3,87.0,27.0
5790Y,2025-05-13 09:00:00+00:00,0.6,1.9,1.0,327.0
